"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"12658","LINC00662","LOC105376081","GPX3","LOC101928796",12658,10639,10529,11164,4177
"12659","ZNF138","CORO1A","KANSL2","LOC105369879",12659,10641,10530,11166,4177
"12660","LOC107987272","RB1-DT","ZNF517","H3-2",12660,10641,10532,11167,4178
"12661","AGBL3","HDHD5-AS1","LXN","PIP4K2B",12661,10641,10533,11168,4179
"12662","PSME2","LOC105378512","LOC100132057","GRM5",12662,10643,10534,11169,4179
"12663","PCDH12","HOMER3-AS1","SLC10A3","LOC105373897",12663,10644,10535,11171,4180
"12664","RETSAT","SCARNA2","MRPS2","TIMM22",12664,10645,10537,11173,4182
"12665","PSMA3","LOC105374325","CIAO2B","MORC4",12665,10647,10538,11174,4184
"12666","GGH","LINC02234","PGBD1","OR10J5",12666,10648,10540,11175,4184
"12667","CNNM2","LOC105372549","LRRCC1","QRICH2",12667,10649,10542,11176,4185
"12668","BBS12","LOC112268195","CCDC122","MRPL19",12668,10650,10544,11177,4186
"12669","PPP3CB-AS1","LOC100506076","ZNF234","ZNF232",12669,10651,10546,11178,4187
"12670","FBXL19-AS1","MCM3AP-AS1","GSAP","SLC8B1",12670,10652,10548,11180,4188
"12671","ZNF497","AGPAT5","EBLN2","PPP6R1",12671,10653,10549,11181,4189
"12672","RPS20","CFAP54","LOC100129503","ADAMTS1",12672,10655,10550,11181,4191
"12673","RASIP1","DBNDD1","SC5D","KATNBL1P6",12673,10657,10552,11183,4192
"12674","COLQ","LOC105374181","DIP2B","SYNPO2",12674,10658,10553,11184,4194
"12675","PAICS","GCA","LOC100505549","FAM86C1",12675,10660,10555,11186,4195
"12676","ATP11C","TAC1","PAFAH1B1","LOC107986091",12676,10661,10556,11187,4195
"12677","VPS35","LOC100289495","ZNF579","LOC105379179",12677,10663,10558,11189,4195
"12678","WDHD1","ZNF653","SNHG21","LINC01895",12678,10665,10560,11191,4195
"12679","GMEB2","NPIPB12","SLC38A10","AIF1L",12679,10666,10560,11192,4195
"12680","NOM1","IL17B","LMAN2","TBX2",12680,10667,10562,11194,4197
"12681","DMTN","LOC107985154","REEP3","GPATCH4",12681,10667,10564,11195,4199
