"","truseq","inlysate","purified_RNA","rank","rand_truseq","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"10719","TRIM7","SLC52A1","TRIM7",10719,"SPIDR",9663,10719,9663,3021
"10720","NEK8","LOC105373215","NEK8",10720,"LOC107986002",9664,10720,9664,3022
"10721","KATNAL2","SLC7A14-AS1","KATNAL2",10721,"LOC105372283",9664,10721,9664,3022
"10722","AP1G2","LOC102725238","AP1G2",10722,"FZD3",9664,10722,9664,3023
"10723","SLFN12","LOC105375655","SLFN12",10723,"PSG8-AS1",9665,10723,9665,3024
"10724","INPP5E","KIF27","INPP5E",10724,"LOC105379169",9666,10724,9666,3024
"10725","LINC01089","MORF4L2-AS1","LINC01089",10725,"HCG21",9667,10725,9667,3024
"10726","FAH","ZNF713","FAH",10726,"MEPCE",9668,10726,9668,3025
"10727","RAB23","ATP8B3","RAB23",10727,"CDKN2A-DT",9669,10727,9669,3026
"10728","TRIP13","HRAT17","TRIP13",10728,"LOC105376945",9670,10728,9670,3026
"10729","C14orf28","TOP3B","C14orf28",10729,"MIR6717",9671,10729,9671,3027
"10730","VIRMA","CAMK2B","VIRMA",10730,"LOC105372470",9672,10730,9672,3028
"10731","PDCL3","LOC101928063","PDCL3",10731,"LINC02726",9673,10731,9673,3028
"10732","AKTIP","FAM174B","AKTIP",10732,"LOC102723345",9674,10732,9674,3028
"10733","ZRANB3","SCOC-AS1","ZRANB3",10733,"LOC107984456",9675,10733,9675,3029
"10734","SLC1A2","TMEM86B","SLC1A2",10734,"LOC100507103",9676,10734,9676,3029
"10735","SBF2-AS1","LOC105377590","SBF2-AS1",10735,"ZNF578",9676,10735,9676,3030
"10736","ANAPC15","MEOX2","ANAPC15",10736,"LOC105377672",9677,10736,9677,3030
"10737","DECR1","MOB4","DECR1",10737,"BMP3",9678,10737,9678,3030
"10738","MED13L","GPR37","MED13L",10738,"ZNF296",9679,10738,9679,3030
"10739","ACADM","ZNF578","ACADM",10739,"LOC101926953",9681,10739,9681,3030
"10740","HS3ST3B1","NBPF10","HS3ST3B1",10740,"LOC112268142",9682,10740,9682,3030
"10741","COL27A1","LOC105373610","COL27A1",10741,"LOC100505782",9683,10741,9683,3030
"10742","C2orf88","COLQ","C2orf88",10742,"LOC105370017",9683,10742,9683,3030
"10743","PTGFRN","LOC105371490","PTGFRN",10743,"LOC105370958",9683,10743,9683,3031
"10744","PYCARD","LOC107984656","PYCARD",10744,"OR2Y1",9684,10744,9684,3032
"10745","TM7SF2","LINC00877","TM7SF2",10745,"LOC100505736",9684,10745,9684,3033
"10746","HIVEP3","LOC105374883","HIVEP3",10746,"DHFRP3",9685,10746,9685,3033
"10747","BCS1L","ADIPOR2","BCS1L",10747,"RBMS3-AS1",9686,10747,9686,3034
"10748","BAG5","SNORA74B","BAG5",10748,"LINC02803",9687,10748,9687,3034
"10749","FGFR1OP2","STIM2-AS1","FGFR1OP2",10749,"ELOA3C",9688,10749,9688,3034
"10750","NDUFS2","RGMB-AS1","NDUFS2",10750,"LOC105376216",9689,10750,9689,3034
"10751","FAM234A","C2orf66","FAM234A",10751,"LOC105374517",9690,10751,9690,3034
"10752","SDHA","GDPD3","SDHA",10752,"SMCO4",9691,10752,9691,3036
"10753","UBE2Q1","COL23A1","UBE2Q1",10753,"RLN1",9692,10753,9692,3036
"10754","OBSL1","PSG3","OBSL1",10754,"LOC101928177",9693,10754,9693,3036
"10755","EIF5A2","PPP3CB-AS1","EIF5A2",10755,"ARID1B",9695,10755,9695,3037
"10756","ENGASE","LOC101929427","ENGASE",10756,"LOC105372704",9695,10756,9695,3038
"10757","CLASRP","CDH24","CLASRP",10757,"POLDIP3",9697,10757,9697,3039
"10758","MX2","LOC107986127","MX2",10758,"ELOB",9697,10758,9697,3041
"10759","STX1B","TMEFF2","STX1B",10759,"HMHB1",9697,10759,9697,3041
"10760","PYROXD1","FBXL8","PYROXD1",10760,"CD5L",9699,10760,9699,3041
"10761","ZFP91","LVRN","ZFP91",10761,"LINC01335",9700,10761,9700,3042
"10762","ANKIB1","EFCAB1","ANKIB1",10762,"SLC52A1",9701,10762,9701,3043
"10763","CDC73","LINC01914","CDC73",10763,"LOC105375833",9702,10763,9702,3043
"10764","CBY1","LOC105375259","CBY1",10764,"ITPR1-DT",9703,10764,9703,3043
"10765","BCAS2","MAOA","BCAS2",10765,"LOC107986433",9705,10765,9705,3043
"10766","MPP1","NAP1L4","MPP1",10766,"APOO",9707,10766,9707,3044
"10767","CCDC115","LINC00545","CCDC115",10767,"LOC105372370",9708,10767,9708,3045
"10768","FZD1","PTPRR","FZD1",10768,"LOC101928095",9709,10768,9709,3046
"10769","GTPBP10","CAMK2A","GTPBP10",10769,"LOC105379208",9711,10769,9711,3047
"10770","PLA2R1","DHRS4-AS1","PLA2R1",10770,"AMDHD1",9712,10770,9712,3047
"10771","TOE1","GLIS2","TOE1",10771,"RMDN2",9713,10771,9713,3049
"10772","BCKDHB","LAMTOR5-AS1","BCKDHB",10772,"EHHADH-AS1",9714,10772,9714,3050
"10773","PHLDB3","PURG","PHLDB3",10773,"TMED7-TICAM2",9715,10773,9715,3050
"10774","PCDHB2","FAM189B","PCDHB2",10774,"FAM74A6",9715,10774,9715,3050
